Smiles,Standard Value,Standard Units,pIC50,Molecule ChEMBL ID
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)cc1,42.0,nM,7.38,CHEMBL3040806
Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCCO)cc5)sc34)ccc2[nH]1,500.0,nM,6.3,CHEMBL78700
O=[N+]([O-])CCc1c(SSc2[nH]c3ccccc3c2CC[N+](=O)[O-])[nH]c2ccccc12,89000.0,nM,4.05,CHEMBL158119
Cc1nc(Nc2ccc(F)c(Cl)c2)c2cc(C)oc2n1,30.2,nM,7.52,CHEMBL3297894
C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,865.0,nM,6.06,CHEMBL4531697
COc1ccc(/C(CSc2nc3[nH]c(=O)n(C)c(=O)c3[nH]2)=N\O)cc1,710.0,nM,6.15,CHEMBL4441404
Cc1ccc(Nc2ncnc3[nH]c(C)c(C)c23)cc1,2100.0,nM,5.68,CHEMBL307599
Cn1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,2900.0,nM,5.54,CHEMBL1240566
Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Br)cc2)cc1,18350.0,nM,4.74,CHEMBL1828876
COc1ccc(CC(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1,32850.0,nM,4.48,CHEMBL1828883
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,nM,4.33,CHEMBL76985
COc1ccc(C2CC(c3ccc(Br)cc3)=NN2c2nc(-c3ccccc3)cs2)cc1,10170.0,nM,4.99,CHEMBL1821880
COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(OC)cc3)C2)cc1,6920.0,nM,5.16,CHEMBL1821894
COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(Cl)cc3)C2)cc1,7780.0,nM,5.11,CHEMBL1822061
C/C=C(\C)C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)/C=C(C)/C=C/CC(C)/C=C/c1oc(OC)c(C)c(=O)c1C,160.0,nM,6.8,CHEMBL1817964
C/C=C(\C)C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)/C=C(C)/C=C/CC(C)/C=C/c1oc(OC)c(C)c(=O)c1C,60.0,nM,7.22,CHEMBL1817964
Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2c2nc(-c3ccccc3)cs2)cc1,2670.0,nM,5.57,CHEMBL1821865
COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2c2nc(-c3ccccc3)cs2)cc1,3080.0,nM,5.51,CHEMBL1821866
C=CC(=O)Nc1cccc(Oc2ccnc(N)c2-c2ccc(Oc3ccccc3)cc2)c1,140.0,nM,6.85,CHEMBL4461455
C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(OCCCN3CCOCC3)cc2)ncc1Cl,766.6,nM,6.12,CHEMBL4276744
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,nM,8.35,CHEMBL67057
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,nM,7.96,CHEMBL134312
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,nM,4.22,CHEMBL309625
COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccc(-c5ccsc5)cc4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,1201.0,nM,5.92,CHEMBL3263967
COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4)cc3)ccnc2cc1OCCCN1CCOCC1,4300.0,nM,5.37,CHEMBL4456494
OC(c1cccs1)c1cc2ccccc2nc1Cl,6300.0,nM,5.2,CHEMBL4456370
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc(Cl)cc4)cc3)c(C(N)=O)c2N)C1,15.0,nM,7.82,CHEMBL4520801
COc1ccc(-n2cc(NC(=O)c3ccc(NS(=O)(=O)c4ccccc4)cc3)cn2)cc1,26150.0,nM,4.58,CHEMBL4448424
C[C@@H](Nc1ncnc2ccc(OCCCCCC(=O)NO)cc12)c1ccccc1,100.0,nM,7.0,CHEMBL3924787
NC(=O)c1c(-c2ccc(Oc3ccc(F)cc3F)cc2)nn([C@@H]2CCCN(C(=O)/C=C/C(F)F)C2)c1N,274.0,nM,6.56,CHEMBL4559065
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)C1CSSC1,210.0,nM,6.68,CHEMBL4456266
CN(C)CCCCCC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,486.0,nM,6.31,CHEMBL2347962
CN(C)CCCCC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,4.0,nM,8.4,CHEMBL2347961
OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccco3)c12)c1ccccc1,73.0,nM,7.14,CHEMBL2347970
N#Cc1cnc(Nc2cccc(Br)c2)c2cc(NC(=O)CCc3cc4ccccc4[nH]3)ccc12,28000.0,nM,4.55,CHEMBL1641998
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1,2100.0,nM,5.68,CHEMBL3132872
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCC(CO)CC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,3.2,nM,8.49,CHEMBL4206166
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccc(F)cc5F)nc4cn3)nc2)CC1,53.6,nM,7.27,CHEMBL4215080
CN(CCCO)c1nc(Nc2ccc(F)cc2)nc2cnc(Nc3ccc(N4CCC(N(C)C)CC4)cn3)cc12,51.9,nM,7.29,CHEMBL4204139
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,8880.0,nM,5.05,CHEMBL432941
C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3cccc(OC)c3)n2)c(OC)cc1N1CCN(C)CC1,147.4,nM,6.83,CHEMBL4451619
C=CC(=O)Nc1cc(Nc2nccc(NC(=O)c3ccc(OC)c(OC)c3)n2)c(OC)cc1N(C)C,40.19,nM,7.4,CHEMBL4569552
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,100.0,nM,7.0,CHEMBL305246
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,18.0,nM,7.75,CHEMBL69966
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0,nM,4.88,CHEMBL344652
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,2.0,nM,8.7,CHEMBL4293051
Cc1cc(F)cc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)c1,528.0,nM,6.28,CHEMBL4537004
Cc1cc(F)cc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)c1,253.0,nM,6.6,CHEMBL4537004
COc1cc2ncc(C#N)c(Nc3cccc(C(F)(F)F)c3)c2cc1OC,1445.44,nM,5.84,CHEMBL109503
COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC,3388.44,nM,5.47,CHEMBL109332
N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1,346.74,nM,6.46,CHEMBL111586
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,645.65,nM,6.19,CHEMBL323630
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,68.0,nM,7.17,CHEMBL553
CC(C)(C)C(=O)Nc1nc(Nc2ccc(F)c(Cl)c2)c2cc(CCc3ccccn3)[nH]c2n1,16300.0,nM,4.79,CHEMBL2335016
COc1cc2ncnc(Nc3ccc(C(C)(F)F)cc3)c2cc1OC,4700.0,nM,5.33,CHEMBL2333985
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1cc(Br)cc(Br)c1,50.0,nM,7.3,CHEMBL3961982
FC(F)(F)c1ccc(COc2ccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCOCCO5)cc2)cc1,384.8,nM,6.42,CHEMBL4520064
C=CC(=O)Nc1cccc(Oc2nccc(Nc3cc(C)[nH]n3)n2)c1,900.0,nM,6.05,CHEMBL3604931
C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C(C)=O)CC3)n2)c1,200.0,nM,6.7,CHEMBL3604941
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Oc3ccc(N)cc3)n2)n[nH]1,2100.0,nM,5.68,CHEMBL3604930
C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,500.0,nM,6.3,CHEMBL3604937
C=CC(=O)Nc1cccc(-c2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,4900.0,nM,5.31,CHEMBL3604942
COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(-c5cnn(C)c5)c4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,84.0,nM,7.08,CHEMBL3263962
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,16.0,nM,7.8,CHEMBL553
COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(-c5ccoc5)c4)cc3F)ccnc2cc1OCCCN1CCOCC1,2895.0,nM,5.54,CHEMBL3263960
COc1cc2c(Oc3ccc(NS(=O)(=O)c4ccc(-c5cnn(C)c5)cc4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,7538.0,nM,5.12,CHEMBL3263966
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,nM,7.85,CHEMBL136491
C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,644.0,nM,6.19,CHEMBL4227278
CCOC(=O)C(=CNC(=O)Nc1ccc(C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cc1)C(=O)OCC,1460.0,nM,5.84,CHEMBL3633942
NC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2c1,4.0,nM,8.4,CHEMBL3633774
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1,11.0,nM,7.96,CHEMBL2032380
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,1.66,nM,8.78,CHEMBL2029428
C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.67,nM,9.17,CHEMBL2029438
C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc(Oc4ccccc4)cc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,2.03,nM,8.69,CHEMBL2029440
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,1.08,nM,8.97,CHEMBL2032376
Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,519.0,nM,6.29,CHEMBL4525935
C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,22.4,nM,7.65,CHEMBL4278815
C=C=CC(=O)Nc1cc(Nc2ncc(OC)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.3,nM,8.2,CHEMBL4282688
C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC)cc1N(C)CCN(C)C,14.7,nM,7.83,CHEMBL4293126
Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cc(Br)ccc3n2C)c(C(=O)Nc2ccccc2)c2cc(Br)ccc21,11400.0,nM,4.94,CHEMBL293251
CN(C)CCC(=O)c1ccc(OCc2ccccc2)cc1.Cl,1500.0,nM,5.82,CHEMBL544770
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,nM,7.19,CHEMBL137364
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,3.0,nM,8.52,CHEMBL3114690
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,60.0,nM,7.22,CHEMBL3114700
COC(=O)c1ccc(CNC(=O)CCc2c(SSc3[nH]c4ccccc4c3CCC(=O)NCc3ccc(C(=O)OC)c(O)c3)[nH]c3ccccc23)cc1O,100000.0,nM,4.0,CHEMBL154822
c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CN4CCOCC4)cc3)cc2n1,30.0,nM,7.52,CHEMBL312482
CN1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1,892.0,nM,6.05,CHEMBL4226151
O=C(O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)O)[nH]c2ccccc12,4200.0,nM,5.38,CHEMBL79704
Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,26.0,nM,7.58,CHEMBL331906
Brc1cccc(Nc2ccnc3ccccc23)c1,5500.0,nM,5.26,CHEMBL37346
CN1CCN(c2ccc(Nc3cc4c(N5CCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,4.4,nM,8.36,CHEMBL4209801
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.0,nM,8.15,CHEMBL122245
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCC1CCCC(CNC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)C1,12500.0,nM,4.9,CHEMBL357161
CC(C)c1ccc(Nc2nc(N)nc3c2-c2ccccc2C3)cc1,42600.0,nM,4.37,CHEMBL2047245
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1CCCCN1CCOCC1,2.7,nM,8.57,CHEMBL281543
Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,1500.0,nM,5.82,CHEMBL333231
COc1cc(/C=C(\C#N)C(=O)NCCCCNC(=O)/C(C#N)=C/c2cc(OC)c(O)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,19000.0,nM,4.72,CHEMBL145266
C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,0.38,nM,9.42,CHEMBL2029438
C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,2.31,nM,8.64,CHEMBL2029429
O=C(OCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,1500.0,nM,5.82,CHEMBL168533
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,7.0,nM,8.15,CHEMBL3883534
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F,160.0,nM,6.8,CHEMBL4216679
C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(C4CCN(C)CC4)c3)c(C(N)=O)nc2C(C)C)c1,1.3,nM,8.89,CHEMBL3663930
O=C(Cc1c(SSc2[nH]c3ccccc3c2CC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,38000.0,nM,4.42,CHEMBL435831
C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)c1ccc(Br)cc1,300.5,nM,6.52,CHEMBL5087139
CC#CC(=O)Nc1cnc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,3762.4,nM,5.42,CHEMBL287022
C=CC(=O)Nc1cc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)cc(N2CCN(C)CC2)c1,11.0,nM,7.96,CHEMBL4071368
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,40.0,nM,7.4,CHEMBL4786787
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n(C5CCN(C(=O)CO)CC5)c4n3)cc2)CC1,41.0,nM,7.39,CHEMBL5183865
O=C1c2ccccc2Nc2ccc(F)cc2N1Cc1ccccc1,59.0,nM,7.23,CHEMBL4520903
COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,156.6,nM,6.8,CHEMBL4649261
OCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,21.0,nM,7.68,CHEMBL4101719
COc1cc2c(Nc3ccc(NC(=O)C(c4cc(F)ccc4F)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,2.2,nM,8.66,CHEMBL4443483
OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.19,nM,9.72,CHEMBL165864
OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,1100.0,nM,5.96,CHEMBL121405
CNC(=O)c1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12,6100.0,nM,5.21,CHEMBL137422
O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc2ccccc2)[nH]c2ccccc12)NCc1ccccc1,850.0,nM,6.07,CHEMBL293261
CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.1,nM,8.96,CHEMBL334801
CC(C)n1nc(N2CC(C(C)(C)O)C2)c2cnc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)cc21,32.0,nM,7.5,CHEMBL5282716
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,10.0,nM,8.0,CHEMBL1173655
Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCC1,600.0,nM,6.22,CHEMBL166765
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1.Cl,670.0,nM,6.17,CHEMBL542887
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1.Cl,700.0,nM,6.16,CHEMBL552634
COc1ccc(NC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(OC)c1,1700.0,nM,5.77,CHEMBL57251
COC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1O,1800.0,nM,5.75,CHEMBL76929
CC(C)CCCC(C)CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,7000.0,nM,5.16,CHEMBL170997
CCN1CCN(c2ccc(-c3cc(Cl)c4cn(C(C(=O)Nc5nccs5)c5ncn6c5CCC6)nc4c3Cl)cc2)CC1,11.0,nM,7.96,CHEMBL5203543
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,200.0,nM,6.7,CHEMBL322298
c1ccc(NCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2cccc2)cc1,1.0,nM,9.0,CHEMBL79215
CC(C)(CO)NCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.0,nM,8.1,CHEMBL308498
CC(C)(C)C(=O)Nc1nc(Nc2cccc(F)c2)c2c(n1)[nH]c1cccc(Cl)c12,30800.0,nM,4.51,CHEMBL2337371
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,1.5,nM,8.82,CHEMBL165508
CN(C)CCCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,1196.0,nM,5.92,CHEMBL3233772
CSC1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,18.0,nM,7.75,CHEMBL3233788
CN(C)CCCN(C)CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,1699.0,nM,5.77,CHEMBL3233763
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=C/CN(C)C,16.0,nM,7.8,CHEMBL3671526
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC1CCN(C(C)=O)C1,94.0,nM,7.03,CHEMBL3671558
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)c1cccs1,47.0,nM,7.33,CHEMBL3671562
C=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,590.0,nM,6.23,CHEMBL281300
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=O)NCC,8.0,nM,8.1,CHEMBL3676384
Cc1ccc2[nH]c(SSc3[nH]c4ccc(C)cc4c3CCC(=O)O)c(CCC(=O)O)c2c1,8400.0,nM,5.08,CHEMBL83559
O=S(=O)(CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)CC(F)(F)F,14.61,nM,7.83,CHEMBL3040543
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OC(F)(F)F,2640.0,nM,5.58,CHEMBL421047
CS(=O)(=O)CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,68.0,nM,7.17,CHEMBL3233773
OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,4.8,nM,8.32,CHEMBL129579
O=C(/C=C/CNCc1ncccn1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,55.0,nM,7.26,CHEMBL3233776
O=C(O)Cc1c(SSSc2[nH]c3ccccc3c2CC(=O)O)[nH]c2ccccc12,9300.0,nM,5.03,CHEMBL79970
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,0.91,nM,9.04,CHEMBL338114
CC(C)c1ccc(COC(=O)c2cc(NCc3cc(O)ccc3O)ccc2O)cc1,1400.0,nM,5.85,CHEMBL435662
O=C(Oc1ccc2ccccc2c1)c1cc(NCc2cc(O)ccc2O)ccc1O,90.0,nM,7.05,CHEMBL169514
O=C(O)Cc1cc(NCc2cc(O)ccc2O)ccc1O,6000.0,nM,5.22,CHEMBL171085
O=C(NCc1ccccc1)[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)NC(=O)C(F)(F)F,7000.0,nM,5.16,CHEMBL336410
Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,44.0,nM,7.36,CHEMBL54788
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,40.0,nM,7.4,CHEMBL122182
COc1cc(C=C(C#N)C#N)cc(Br)c1O,153000.0,nM,3.815308569182401,CHEMBL77298
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCCNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,9000.0,nM,5.05,CHEMBL144842
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,10.0,nM,8.0,CHEMBL1201179
Fc1cccc(COc2ccc(Nc3cc(Oc4ccccc4)ncn3)cc2Cl)c1,10000.0,nM,5.0,CHEMBL1683954
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,72.0,nM,7.14,CHEMBL5198809
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.1,nM,8.09,CHEMBL162223
CN1CCN(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)CC4)cc2)CC1,6.8,nM,8.17,CHEMBL5187605
CN1CCC(c2ccc(-c3ccc4c(=O)n(C(C(=O)Nc5nccs5)c5ccccc5)cnc4c3)cc2)CC1,5.8,nM,8.24,CHEMBL5204270
Clc1cccc(Nc2nc[nH]c3nnc(Nc4cccc(Cl)c4)c2-3)c1,330.0,nM,6.48,CHEMBL333038
Clc1cccc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)c1,1500.0,nM,5.82,CHEMBL119982
COCOc1cc(C(C)(C)C)ccc1-c1ccc(C(=O)OC)cc1,10000.0,nM,5.0,CHEMBL142898
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1,31000.0,nM,4.51,CHEMBL55994
CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,940.0,nM,6.03,CHEMBL283682
CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,797.0,nM,6.1,CHEMBL22978
CNc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cn1,1.1,nM,8.96,CHEMBL165788
CS(=O)(=O)CCNc1nc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)cs1,1600.0,nM,5.8,CHEMBL422347
O=C(/C=C/CN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,106.0,nM,6.97,CHEMBL94068
COC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,9000.0,nM,5.05,CHEMBL131653
COc1cc2c(Nc3ccc(C)c(Br)c3)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,0.37,nM,9.43,CHEMBL4540303
COc1cc(Nc2ncnc3cc(-c4ccc(Br)cc4)sc23)cc(OC)c1OC,326.0,nM,6.49,CHEMBL4572443
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,6.0,nM,8.22,CHEMBL29197
COC(=O)c1ccc(-c2ccc(-c3ccccc3)cc2O)cc1,14000.0,nM,4.85,CHEMBL358092
Nc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F,1.0,nM,9.0,CHEMBL153573
CCNc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1F.CCO,7.9,nM,8.1,CHEMBL357570
COc1ccc(NC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(OC)c1,25118.86,nM,4.6,CHEMBL57251
CO.Nc1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,2.7,nM,8.57,CHEMBL151593
CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,2.6,nM,8.59,CHEMBL341319
